id;nazwa;info_zab;cena
"ZGCACLI571XLY";"Canon CLI-571XL yellow";"0.0";"0.0"
"ZGCACLI581C";"Canon CLI-581 cyan";"0.0";"0.0"
"ZGCACLI581M";"Canon CLI-581 magenta";"0.0";"0.0"
"ZGCACLI581Y";"Canon CLI-581 yellow";"0.0";"0.0"
"ZCACLI581XLB";"Canon CLI-581XL black";"0.0";"0.0"
"ZGCACLI581XLC";"Canon CLI-581XL cyan";"0.0";"0.0"
"ZGCACLI581XLM";"Canon CLI-581XL magenta";"0.0";"0.0"
"ZGCACLI581XLY";"Canon CLI-581XL yellow";"0.0";"0.0"
"ZCACLI581XXLBL";"Canon CLI-581XXL black";"0.0";"0.0"
"ZCACLI581XXLC";"Canon CLI-581XXL cyan";"0.0";"0.0"
"ZCACLI581XXLM";"Canon CLI-581XXL magenta";"0.0";"0.0"
"ZCACLI581XXLPB";"Canon CLI-581XXL photo black";"0.0";"0.0"
"ZCACLI581XXLY";"Canon CLI-581XXL yellow";"0.0";"0.0"
"cli8";"Canon CLI-8";"ZB";"0.0"
"ZCCAPFI1000B";"Canon PFI-1000 B blue";"0.0";"0.0"
"ZCCAPFI1000C";"Canon PFI-1000 C cyan";"0.0";"0.0"
"ZCCAPFI1000CO";"Canon PFI-1000 CO chroma opimizer";"0.0";"0.0"
"ZCCAPFI1000GY";"Canon PFI-1000 GY grey";"0.0";"0.0"
"ZCCAPFI1000M";"Canon PFI-1000 M magenta";"0.0";"0.0"
"ZCCAPFI1000MBK";"Canon PFI-1000 MBK matte black";"0.0";"0.0"
"ZCCAPFI1000PBK";"Canon PFI-1000 PBK photo black";"0.0";"0.0"
"ZCCAPFI1000PC";"Canon PFI-1000 PC photo cyan";"0.0";"0.0"
"ZCCAPFI1000PGY";"Canon PFI-1000 PGY photo grey";"0.0";"0.0"
"ZCCAPFI1000PM";"Canon PFI-1000 PM photo magenta";"0.0";"0.0"
"ZCCAPFI1000R";"Canon PFI-1000 R red";"0.0";"0.0"
"ZCCAPFI1000Y";"Canon PFI-1000 Y yellow";"0.0";"0.0"
"ZCAPFI101BK";"Canon PFI-101BK black";"0.0";"0.0"
"ZCAPFI101C";"Canon PFI-101C cyan";"0.0";"0.0"
"ZCAPFI101G";"Canon PFI-101G green";"0.0";"0.0"
"ZCAPFI101M";"Canon PFI-101M magenta";"0.0";"0.0"
"ZCAPFI101PC";"Canon PFI-101PC photo cyan";"0.0";"0.0"
"ZCAPFI101PM";"Canon PFI-101PM photo magenta";"0.0";"0.0"
"ZCAPFI101R";"Canon PFI-101R red";"0.0";"0.0"
"ZCAPFI102S";"Canon PFI-102   SETUP";"0.0";"0.0"
"ZCCAPFI102PB";"Canon PFI-102BK black";"0.0";"0.0"
"ZGCAPFI102C";"Canon PFI-102C cyan";"0.0";"0.0"
"ZGCAPFI102M";"Canon PFI-102M magenta";"0.0";"0.0"
"ZGCAPFI102B";"Canon PFI-102MBK matte black";"0.0";"0.0"
"ZGCAPFI102Y";"Canon PFI-102Y yellow";"0.0";"0.0"
"ZCCAPFI103BK";"Canon PFI-103BK black";"0.0";"0.0"
"ZCCAPFI103GY";"Canon PFI-103GY grey";"0.0";"0.0"
"ZCCAPFI103MBK";"Canon PFI-103MBK matte black";"0.0";"0.0"
"ZCCAPFI103PGY";"Canon PFI-103PGY photo grey";"0.0";"0.0"
"ZCCAPFI104B";"Canon PFI-104BK black";"0.0";"0.0"
